,title,author,author_id,file_name,text_url
0,Капитанская дочка,Александр Пушкин,0,aleksandr_pushkin_kapitanskaja_dochka,https://ilibrary.ru/text/107/p.1/index.html
1,Бедные люди,Федор Достоевский,1,fedor_dostoevskij_bednye_ljudi,https://ilibrary.ru/text/17/p.1/index.html
